"COLUMN_ID","SCHEMA","TABLE","COLUMN","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE"
30,"AIRFLOW","MPR_STAGE_1","APP_QUANTITY","NUMBER",22,,,"Y"
31,"AIRFLOW","MPR_STAGE_1","MIN_PAYMENT_TIMESTAMP","DATE",7,,,"Y"
32,"AIRFLOW","MPR_STAGE_1","SUM_AMOUNT","NUMBER",22,,,"Y"
33,"AIRFLOW","MPR_STAGE_1","AMOUNT_BPLK","NUMBER",22,,,"Y"
34,"AIRFLOW","MPR_STAGE_1","BUNDLE_ID","VARCHAR2",100,,,"Y"
35,"AIRFLOW","MPR_STAGE_1","BUNDLE_NAME","VARCHAR2",4000,,,"Y"
36,"AIRFLOW","MPR_STAGE_1","PAYMENT_MANAGER_ID","NUMBER",22,8,0,"Y"
37,"AIRFLOW","MPR_STAGE_1","IS_RENT_APP","VARCHAR2",6,,,"Y"
38,"AIRFLOW","MPR_STAGE_1","UPD_POCKET_TABAK","NUMBER",22,,,"Y"
39,"AIRFLOW","MPR_STAGE_1","IS_PARTNER_PAYMENT_METHOD","NUMBER",22,,,"Y"
40,"AIRFLOW","MPR_STAGE_1","DOPLATA_REASON","VARCHAR2",73,,,"Y"
41,"AIRFLOW","MPR_STAGE_1","FIN_PROJECT","VARCHAR2",1000,,,"Y"
42,"AIRFLOW","MPR_STAGE_1","KPI_PROJECT","VARCHAR2",1000,,,"Y"
43,"AIRFLOW","MPR_STAGE_1","USER_TYPE","CHAR",1,,,"Y"
44,"AIRFLOW","MPR_STAGE_1","USER_REG","VARCHAR2",7,,,"Y"
45,"AIRFLOW","MPR_STAGE_1","PAYMENT_PARTNER","VARCHAR2",243,,,"Y"
46,"AIRFLOW","MPR_STAGE_1","PARTNER","VARCHAR2",243,,,"Y"
47,"AIRFLOW","MPR_STAGE_1","PARTNER_ID","NUMBER",22,,,"Y"
1,"AIRFLOW","MPR_STAGE_2","PRODUCT_ID","VARCHAR2",100,,,"Y"
2,"AIRFLOW","MPR_STAGE_2","NAME","VARCHAR2",4031,,,"Y"
3,"AIRFLOW","MPR_STAGE_2","CATEGORY_ID","VARCHAR2",200,,,"Y"
4,"AIRFLOW","MPR_STAGE_2","CATEGORY_NAME","VARCHAR2",1020,,,"Y"
5,"AIRFLOW","MPR_STAGE_2","PUBLISHER_ID","VARCHAR2",200,,,"Y"
6,"AIRFLOW","MPR_STAGE_2","PUBLISHER_NAME","VARCHAR2",1020,,,"Y"
7,"AIRFLOW","MPR_STAGE_2","PUBLISHER_INN","VARCHAR2",500,,,"Y"
8,"AIRFLOW","MPR_STAGE_2","PUBLISHER_KPP","VARCHAR2",500,,,"Y"
9,"AIRFLOW","MPR_STAGE_2","USER_ID","VARCHAR2",100,,,"Y"
10,"AIRFLOW","MPR_STAGE_2","NN_BY_APP","NUMBER",22,,,"Y"
11,"AIRFLOW","MPR_STAGE_2","NN_BY_USER","NUMBER",22,,,"Y"
12,"AIRFLOW","MPR_STAGE_2","D_DATE","DATE",7,,,"Y"
13,"AIRFLOW","MPR_STAGE_2","YYYY_MM","VARCHAR2",7,,,"Y"
14,"AIRFLOW","MPR_STAGE_2","YYYY_Q","VARCHAR2",6,,,"Y"
15,"AIRFLOW","MPR_STAGE_2","WEEKDAY","VARCHAR2",16,,,"Y"
16,"AIRFLOW","MPR_STAGE_2","DD","NUMBER",22,,,"Y"
17,"AIRFLOW","MPR_STAGE_2","PERIOD","VARCHAR2",45,,,"Y"
18,"AIRFLOW","MPR_STAGE_2","SUBSYSTEM_ID","VARCHAR2",15,,,"Y"
19,"AIRFLOW","MPR_STAGE_2","GATEWAY_ID","VARCHAR2",32767,,,"Y"
20,"AIRFLOW","MPR_STAGE_2","DOPLATA","NUMBER",22,,,"Y"
21,"AIRFLOW","MPR_STAGE_2","IS_SERVICE_APP","VARCHAR2",6,,,"Y"
22,"AIRFLOW","MPR_STAGE_2","PAYMENT_PARTNER_ID","VARCHAR2",100,,,"Y"
23,"AIRFLOW","MPR_STAGE_2","PAYMENT_ID","VARCHAR2",100,,,"Y"
24,"AIRFLOW","MPR_STAGE_2","SUBSCRIPTION_ID","VARCHAR2",50,,,"Y"
25,"AIRFLOW","MPR_STAGE_2","PAYMENTS","NUMBER",22,,,"Y"
26,"AIRFLOW","MPR_STAGE_2","EVOTORSHARE","NUMBER",22,,,"Y"
27,"AIRFLOW","MPR_STAGE_2","SALESSHARE","NUMBER",22,,,"Y"
28,"AIRFLOW","MPR_STAGE_2","PUBLISHERSHARE","NUMBER",22,,,"Y"
29,"AIRFLOW","MPR_STAGE_2","VATSUM","NUMBER",22,,,"Y"
30,"AIRFLOW","MPR_STAGE_2","EVOTORSHARE_RAW","NUMBER",22,,,"Y"
31,"AIRFLOW","MPR_STAGE_2","SALESSHARE_RAW","NUMBER",22,,,"Y"
32,"AIRFLOW","MPR_STAGE_2","PUBLISERSHARE_RAW","NUMBER",22,,,"Y"
33,"AIRFLOW","MPR_STAGE_2","MIN_PAYMENT_TIMESTAMP","DATE",7,,,"Y"
34,"AIRFLOW","MPR_STAGE_2","SUM_AMOUNT","NUMBER",22,,,"Y"
35,"AIRFLOW","MPR_STAGE_2","AMOUNT_BPLK","NUMBER",22,,,"Y"
36,"AIRFLOW","MPR_STAGE_2","BUNDLE_ID","VARCHAR2",100,,,"Y"
37,"AIRFLOW","MPR_STAGE_2","BUNDLE_NAME","VARCHAR2",4000,,,"Y"
38,"AIRFLOW","MPR_STAGE_2","PAYMENT_MANAGER_ID","NUMBER",22,8,0,"Y"
39,"AIRFLOW","MPR_STAGE_2","IS_RENT_APP","VARCHAR2",6,,,"Y"
40,"AIRFLOW","MPR_STAGE_2","UPD_POCKET_TABAK","NUMBER",22,,,"Y"
41,"AIRFLOW","MPR_STAGE_2","IS_PARTNER_PAYMENT_METHOD","NUMBER",22,,,"Y"
42,"AIRFLOW","MPR_STAGE_2","DOPLATA_REASON","VARCHAR2",73,,,"Y"
43,"AIRFLOW","MPR_STAGE_2","FIN_PROJECT","VARCHAR2",1000,,,"Y"
44,"AIRFLOW","MPR_STAGE_2","KPI_PROJECT","VARCHAR2",1000,,,"Y"
45,"AIRFLOW","MPR_STAGE_2","USER_TYPE","CHAR",1,,,"Y"
46,"AIRFLOW","MPR_STAGE_2","USER_REG","VARCHAR2",7,,,"Y"
